Top queries,Cluster Number,Cluster Name,Clicks,Impressions,CTR,Position
adelphi living,,,289,834,34.65%,1.07
adelphi,,,15,298,5.03%,9.97
sil providers perth,,,12,90,13.33%,3.26
supported independent living perth,,,7,323,2.17%,10.77
adelphi living mandurah,,,7,30,23.33%,1.03
disability accommodation perth,,,3,641,0.47%,31.52
ndis providers near me,,,3,45,6.67%,1.0
sda providers perth,,,3,23,13.04%,7.48
disability housing perth,,,2,541,0.37%,31.37
ndis providers perth,,,2,258,0.78%,52.9
sil ndis,,,1,656,0.15%,44.26
ndis housing perth,,,1,460,0.22%,17.18
sil,,,1,232,0.43%,5.32
disability supported accommodation perth,,,1,220,0.45%,21.8
ndis sda,,,1,214,0.47%,71.16
disability accommodation wa,,,1,193,0.52%,27.95
ndis events perth,,,1,187,0.53%,21.29
disability service providers perth,,,1,163,0.61%,68.01
ndis short term accommodation,,,1,106,0.94%,31.03
disability housing,,,1,56,1.79%,36.61
disability homes,,,1,45,2.22%,6.13
adelphi living jobs,,,1,45,2.22%,6.8
sil housing,,,1,27,3.7%,67.48
the adelphi,,,1,17,5.88%,29.24
sda payment,,,1,13,7.69%,11.23
sda living,,,1,11,9.09%,5.09
support coordinators,,,1,6,16.67%,2.17
disability services near me,,,1,5,20%,20.2
adelphi house assisted living,,,1,4,25%,1.25
ndis wa providers,,,1,4,25%,49.5
ndis sda application form,,,1,2,50%,3.5
adelphi housing,,,1,2,50%,4.0
disability support organisation,,,1,1,100%,1.0
disability support services near me,,,1,1,100%,1.0
independent living supplies,,,1,1,100%,1.0
ndis support provider,,,1,1,100%,4.0
ndis,,,0,770,0%,3.29
ndis perth,,,0,692,0%,76.1
sda ndis,,,0,568,0%,59.34
supported independent living ndis,,,0,457,0%,88.91
specialist disability accommodation perth,,,0,416,0%,13.7
ndis sil,,,0,351,0%,47.36
ndis supported independent living,,,0,346,0%,89.55
disability accommodation,,,0,343,0%,40.83
supported independent living,,,0,306,0%,6.24
sil provider,,,0,283,0%,61.69
assisted living perth,,,0,227,0%,47.53
ndis support coordination perth,,,0,224,0%,82.1
sda housing perth,,,0,219,0%,23.18
sda provider,,,0,219,0%,64.53
disability group homes perth,,,0,212,0%,66.47
ndis provider perth,,,0,204,0%,58.47
independent living wa,,,0,197,0%,47.42
sda accommodation,,,0,193,0%,71.1
supported accommodation perth,,,0,188,0%,51.73
ndis perth wa,,,0,182,0%,77.29
supported living accommodation,,,0,178,0%,33.02
independent living housing,,,0,168,0%,1.83
sil accommodation,,,0,168,0%,36.84
sil providers,,,0,163,0%,76.59
supported living,,,0,160,0%,24.61
supported independent living providers,,,0,151,0%,75.91
ndis events,,,0,141,0%,59.6
sda house,,,0,138,0%,77.59
independent living specialists,,,0,135,0%,82.3
what is sda,,,0,133,0%,60.97
independent living,,,0,130,0%,66.28
independent living perth,,,0,125,0%,36.34
sda house available,,,0,125,0%,63.7
sda funding,,,0,122,0%,26.42
sda living western australia,,,0,110,0%,4.54
support coordinator perth,,,0,107,0%,42.53
supported accommodation ndis,,,0,106,0%,4.58
residential disability access perth,,,0,100,0%,52.13
independent living apartments for disabled,,,0,97,0%,1.0
disability accommodation services,,,0,95,0%,34.09
ndis provider wa,,,0,94,0%,75.74
independent living perth wa,,,0,93,0%,39.19
respite accommodation,,,0,93,0%,51.17
independent living western australia,,,0,92,0%,42.8
disability and independent living,,,0,91,0%,8.45
medium term accommodation ndis,,,0,91,0%,44.84
disability rental housing perth,,,0,90,0%,40.4
independent living homes,,,0,90,0%,85.0
independent living services,,,0,86,0%,69.53
ndis service provider perth,,,0,83,0%,82.66
sda apartments,,,0,81,0%,45.89
assisted living,,,0,78,0%,71.24
ndis providers wa,,,0,76,0%,81.95
sda perth,,,0,75,0%,21.93
specialist support coordination perth,,,0,74,0%,66.08
independent living near me,,,0,73,0%,32.33
disability care services perth,,,0,73,0%,82.07
ndis events wa,,,0,72,0%,12.94
atsa independent living expo,,,0,71,0%,22.96
sda houses,,,0,71,0%,71.85
ndis living,,,0,71,0%,79.93
disability respite accommodation,,,0,69,0%,57.03
independent living solutions,,,0,69,0%,70.48
ndis independent living,,,0,69,0%,75.64
ndis events western australia,,,0,68,0%,27.9
housing disability perth,,,0,68,0%,31.44
independent living facilities near me,,,0,68,0%,40.88
ndis sil rules,,,0,67,0%,36.21
specialist disability housing perth,,,0,65,0%,21.83
sda funding ndis,,,0,65,0%,41.52
ndis assisted living,,,0,65,0%,50.22
supported accommodation for people with disabilities,,,0,65,0%,123.42
ndis mental health perth,,,0,64,0%,80.11
independent living disabled,,,0,61,0%,7.8
sda properties perth,,,0,61,0%,18.79
freedom adelphi,,,0,61,0%,36.84
housing for people with disabilities perth,,,0,61,0%,38.23
ndis accommodation vacancies,,,0,60,0%,12.27
independent living expo,,,0,58,0%,23.14
perth disability service provider and participant connection expo 2021,,,0,57,0%,9.84
able living,,,0,56,0%,92.32
disability apartments,,,0,55,0%,60.09
disability housing solutions perth,,,0,54,0%,38.43
sda homes,,,0,54,0%,87.65
ndis housing,,,0,53,0%,5.87
disability apartments perth,,,0,53,0%,25.25
disability home care perth,,,0,53,0%,65.64
assisted living apartments for disabled,,,0,53,0%,85.77
sil and sda,,,0,52,0%,33.65
sil accomodation,,,0,52,0%,72.08
ndis properties perth,,,0,50,0%,17.12
sda participants,,,0,50,0%,75.48
alchera living,,,0,50,0%,83.84
medium term accommodation,,,0,49,0%,37.65
short term accommodation perth,,,0,49,0%,61.47
disability service provider perth,,,0,49,0%,67.35
mental health housing wa,,,0,49,0%,79.53
disability support services perth,,,0,49,0%,97.69
disability housing options perth,,,0,48,0%,29.1
disability short term accommodation,,,0,48,0%,40.12
ndis accommodation provider,,,0,47,0%,6.26
short term accommodation ndis,,,0,47,0%,35.23
ndis accommodation,,,0,46,0%,9.41
ndis sda properties perth,,,0,45,0%,15.07
physical disability housing perth,,,0,45,0%,16.53
perth disability renovation,,,0,45,0%,36.2
ndis medium term accommodation,,,0,45,0%,45.42
ndis respite accommodation,,,0,45,0%,50.96
sda and sil,,,0,42,0%,35.69
sda providers victoria,,,0,42,0%,69.21
supported independent living disability,,,0,42,0%,75.17
living in perth,,,0,42,0%,90.17
ndis provider,,,0,41,0%,2.9
sda wa,,,0,41,0%,31.44
independent living center perth,,,0,41,0%,81.24
ndis service providers perth,,,0,41,0%,98.49
disability services perth,,,0,40,0%,98.85
disabled accommodation perth,,,0,39,0%,42.05
disability residential homes,,,0,38,0%,1.0
sil funding ndis,,,0,38,0%,54.45
ndis sil providers,,,0,38,0%,83.16
ndis supported accommodation,,,0,37,0%,6.68
sda categories,,,0,37,0%,29.97
sda payments,,,0,37,0%,35.24
sda housing ndis,,,0,37,0%,83.73
atsa,,,0,35,0%,56.17
ndis respite,,,0,35,0%,78.4
atsa expo,,,0,34,0%,23.85
sil ndis funding,,,0,34,0%,54.56
adelphi apartments perth,,,0,33,0%,11.36
disabled persons housing service,,,0,33,0%,143.09
adelphi apartments,,,0,32,0%,41.72
sda housing availability,,,0,32,0%,68.31
specialist disability accommodation providers,,,0,32,0%,85.16
